N,k_per_token,F_rd,d_eff,load,rho_blk,coherence,welch_floor,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,leverage,log_alignment,S,feasible
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,21,0.409079853398325,1.4910443759828578,0.1831374813175299,1.6394619414287255,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,22,0.3805289762839927,1.5205800376071308,0.1564226107994133,1.7282357416582181,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,23,0.31066338794493614,1.5642959316814873,0.10149216362136329,2.0577424174534844,True
24,1,43,32,1.34375,1.7916666666666667,0.5440462100751794,0.09046835805696823,17.839163895353032,43,2.4104268704656713,24,0.44706596279978744,1.4577116822085017,0.2229785337979752,1.5344641962204646,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,0,0.2529802829422003,1.38024722651184,0.06613875929730682,2.8638907246122933,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,1,0.29645878831423,1.370873588381707,0.09199228459676606,2.46058437293919,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,2,0.3727251329179751,1.2889246560454206,0.14957253769097262,2.0815353475678364,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,3,0.3309583309036881,1.386527439042841,0.11600970283475429,2.179205637679107,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,4,0.3980946131771328,1.3726903352446267,0.17254469172647355,1.8299580037835914,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,5,0.29139750029896666,1.392070811044029,0.08873559333902953,2.4652039265172303,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,6,0.3865035326204243,1.4163651363976812,0.16179563905075986,1.8267171417440604,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,7,0.42621144223728236,1.358696048452142,0.20047272932916435,1.7268419202316534,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,8,0.39822227308200797,1.386527439042841,0.17266550144777618,1.8111148202744018,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,9,0.3561688070173632,1.3726903352446267,0.135655039214756,2.045368401986738,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,10,0.3034760634465123,1.2817489277029421,0.09661852851284249,2.5708254776935253,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,11,0.3630192746087102,1.294495343156713,0.14131358835344526,2.1279911768108035,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,12,0.4583138372684848,1.3145285183576862,0.23578761847710292,1.6598430258521446,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,13,0.3339375042909819,1.3852615490409963,0.11823667740484477,2.161737832997619,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,14,0.35157418173533955,1.3569620794213009,0.13193769781713002,2.096116004556072,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,15,0.4016888744024797,1.370873588381707,0.17596653497163225,1.8159872185446286,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,16,0.34559667747287753,1.3569620794213009,0.12719387544051367,2.1323708159259875,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,17,0.27053186028751874,1.397686899720628,0.07600398568491053,2.6446712036882825,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,18,0.3352905718345529,1.2817489277029421,0.11925635897063874,2.3268891562015277,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,19,0.3297193172920602,1.3712649095153138,0.11509084457708095,2.2117408815069273,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,20,0.3000385114590359,1.511728483752194,0.0943360735942781,2.2046984752739855,True
32,1,32,32,1.0,1.0,0.48056754943842006,0.0,16.309122947686877,32,1.9620920206833417,21,0.37442179772674544,1.3070886693048613,0.15104580133674736,2.043307955644863,True
