cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,monitor_rank,superposed,load,coherence,welch_floor,coherence_gap,d_eff_meas,f_eff_meas,rho_rd,pair,gamma_r,log_alignment,leverage,delta_read,delta_input,feasible
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,14,0.4133169593052703,0.18733117462099527,1.9967585641700487,1.2116891484312937,1.2116891484312937,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,15,0.2450509304890567,0.06192855250657904,2.012808522821743,2.0274081191485607,2.0274081191485607,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,16,0.31455238157052257,0.10418698312954969,2.0070794597789177,1.5839536019846536,1.5839536019846536,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,17,0.4290441287179761,0.2034375762222421,1.9878918059871107,1.1724795947565718,1.1724795947565718,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,18,0.3328769418504595,0.11744103486300089,2.0083045825710006,1.4958453917018586,1.4958453917018586,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,19,0.38246135318411767,0.1581481267753495,2.0092990886880178,1.3012713122279047,1.3012713122279047,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,20,0.19940642442008635,0.04057506886307511,2.012808522821743,2.4914856556064815,2.4914856556064815,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,21,0.40254702403361536,0.17678981300971255,1.9970333921894834,1.2439360466871843,1.2439360466871843,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,22,0.3774012015493463,0.15365441440668662,1.9948620299605364,1.3282623340705384,1.3282623340705384,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,23,0.27614978633071163,0.07932322975789503,2.0243006599799127,1.7888761411521044,1.7888761411521044,True
1,32,8,8,0.05,trained,30.0,4,True,4.0,0.6203861886962505,0.3110855084191276,0.30930068027712293,7.916366494579365,32,4.04225853134915,24,0.4560932429580709,0.233220461096565,1.9892329570148102,1.1022007848075703,1.1022007848075703,True
2,32,16,16,0.05,random,30.0,4,True,2.0,0.6775846392715594,0.1796053020267749,0.4979793372447845,11.04591368567214,32,2.8969989183880545,0,0.42424836023690604,0.19843468417753385,1.614575492015419,1.4598944974383488,1.4598944974383488,True
2,32,16,16,0.05,random,30.0,4,True,2.0,0.6775846392715594,0.1796053020267749,0.4979793372447845,11.04591368567214,32,2.8969989183880545,1,0.447372036126638,0.22332074039638547,1.5564658168830408,1.436122805066307,1.436122805066307,True
2,32,16,16,0.05,random,30.0,4,True,2.0,0.6775846392715594,0.1796053020267749,0.4979793372447845,11.04591368567214,32,2.8969989183880545,2,0.3976631012912707,0.17213672923363482,1.6313045978356289,1.5415217068171085,1.5415217068171085,True
