cell,F,d_eff_nominal,N,s,geometry,monitor_angle_deg,superposed,load,coherence,welch_floor,coherence_gap,rho_rd,d_eff_meas,f_eff_meas,gamma_r_mean,log_alignment_mean,delta_read_median,delta_read_mean,delta_input_median,infeasible_frac
80,64,64,64,0.1,random,45.0,False,1.0,0.44350319525759124,0.0,0.44350319525759124,2.0123398078991683,31.803773770601087,64,0.5421527660286355,0.35469418643919454,1.3089052001184993,1.3194843925538222,1.3089052001184993,0.0
81,64,128,128,0.02,random,15.0,False,0.5,0.27628611542950543,0.0,0.27628611542950543,1.5489139883937917,41.31927303876141,64,0.14190608379493092,0.02046317336606016,5.792128063071223,5.792534699193847,5.792128063071223,0.0
82,64,128,128,0.02,random,30.0,False,0.5,0.3681062776184458,0.0,0.3681062776184458,1.5564415206549207,41.119437608597096,64,0.2986781878949062,0.0946956220861598,2.771691113026177,2.794743993803106,2.771691113026177,0.0
83,64,128,128,0.02,random,45.0,False,0.5,0.3203039190768502,0.0,0.3203039190768502,1.5958381923379752,40.104316532390484,64,0.47251987955334596,0.2554537840079662,1.6947786245677523,1.7252032445500092,1.6947786245677523,0.0
84,64,128,128,0.05,random,15.0,False,0.5,0.2956632138236832,0.0,0.2956632138236832,1.5528729970146036,41.21393064535214,64,0.14157895596527123,0.020435977298351473,5.778756725536792,5.792195988895343,5.778756725536792,0.0
85,64,128,128,0.05,random,30.0,False,0.5,0.2963943567837076,0.0,0.2963943567837076,1.5359951709194828,41.666797664271364,64,0.30336411849959016,0.0973844471652826,2.7102463795218297,2.7325119676054346,2.7102463795218297,0.0
86,64,128,128,0.05,random,45.0,False,0.5,0.3325214713589081,0.0,0.3325214713589081,1.5506392868458383,41.27329969188557,64,0.4655386107322957,0.2470472586153542,1.7711656657186934,1.7519426952573176,1.7711656657186934,0.0
87,64,128,128,0.1,random,15.0,False,0.5,0.3489478104917005,0.0,0.3489478104917005,1.5586786483774318,41.06042003374033,64,0.1428846043583838,0.020783588168672085,5.674687228552429,5.730961983035913,5.674687228552429,0.0
88,64,128,128,0.1,random,30.0,False,0.5,0.29200636957741494,0.0,0.29200636957741494,1.5113943251490305,42.34500483101212,64,0.3067535330266708,0.09977689775547262,2.7362110950876493,2.714193609772625,2.7362110950876493,0.0
89,64,128,128,0.1,random,45.0,False,0.5,0.30498760369966377,0.0,0.30498760369966377,1.545094107867533,41.421425189647394,64,0.4761667555759092,0.2599072631737564,1.743471956045751,1.7329089546060217,1.743471956045751,0.0
90,128,8,8,0.02,random,15.0,True,16.0,0.9506903271134499,0.34367169831173533,0.6070186288017145,16.534592830502433,7.741345753847057,128,0.18005925247862825,0.035806073542746356,1.3374196798692464,1.5427172999466616,1.3374196798692464,0.0
91,128,8,8,0.02,random,30.0,True,16.0,0.9383444164584283,0.34367169831173533,0.5946727181466929,17.074412847021,7.496597461173159,128,0.387798293251889,0.1683137359628861,0.6364438455031313,0.6421435537085323,0.6364438455031313,0.0
92,128,8,8,0.02,random,45.0,True,16.0,0.946279842824954,0.34367169831173533,0.6026081445132188,17.15675243577336,7.46061939630886,128,0.49635877705185527,0.31750869085654293,0.48262647387241353,0.5563637425785949,0.48262647387241353,0.0
93,128,8,8,0.05,random,15.0,True,16.0,0.957601364599811,0.34367169831173533,0.6139296662880758,16.882453213754623,7.58183650085372,128,0.17424788930788654,0.03445018019248039,1.3184950738826564,1.6351982973083854,1.3184950738826564,0.0
94,128,8,8,0.05,random,30.0,True,16.0,0.9176944541915566,0.34367169831173533,0.5740227558798212,17.20922360897496,7.437871859207258,128,0.34117918995505836,0.1316653994316886,0.6748202885050845,0.7488691805158197,0.6748202885050845,0.0
95,128,8,8,0.05,random,45.0,True,16.0,0.9485008054246334,0.34367169831173533,0.6048291071128982,16.78874038429706,7.624157445410359,128,0.47972621654157666,0.3110982963061975,0.491406144840537,0.5748539344373775,0.491406144840537,0.0
96,128,8,8,0.1,random,15.0,True,16.0,0.9530491343918114,0.34367169831173533,0.6093774360800761,16.959192832934843,7.547529016323425,128,0.17785095133655832,0.034074190195230634,1.3226295995394506,1.4509670811674769,1.3226295995394506,0.0
